the_geom,cartodb_id,material,name,artist_architect,date,location,donors,<img>,lon,lat
0101000020E610000022F47D82157B52C070C25297EB694440,1,Marble; granite basin,"Heinrich Heine Fountain (""Die Lorelei"")","Ernest Herter, sculptor",1899,"Bronx. Joyce Kilmer Park, Grand Concourse and 164th Street.","Gift of the German --American Society
Restored, 1999, with a major grant from the Stephen and Anna-Maria Kellen Foundation and gifts from the North American Heine Society, the City of Düsseldorf, and the Bronx Borough President's Office",https://www.mas.org/images/die-lorelei-fountain-greens.jpg,-73.92318785,40.82750217
0101000020E6100000816500035C7F52C072A3E9682C5E4440,28,"Bronze statue, granite pedestal",Marquis de Lafayette Monument,Frederic-Auguste Bartholdi,1873,"Union Square, east side between 15th and 16th St.","Restored with a grant from Grand Marnier Foundation
Conservator: Doug Kwart
Maintained by MAS",https://www.mas.org/images/marquis-de-lafayette-after.jpg,-73.98999095,40.73573028
0101000020E6100000DB84FF9DC27D52C0D76C82FB43544440,4,"Bronze statue, granite pedestal",Abraham Lincoln Monument,"Henry Kirke Brown, sculptor",1869,"Brooklyn. Prospect Park, concert Grove.","Gift of the War Fund Committee of Kings County
Restored, 1989, with a grant from Lincoln Savings Bank
Conservator: Washington University Technology Associates
Maintenance by MAS",https://www.mas.org/images/lincoln.jpg,-73.96500349,40.65832466
0101000020E610000095EF7CB34B7D52C09343593226534440,9,Bronze cast from a 1622 original,Statue of Erasmus,cast of Erasmus statue made in 1622 by Hendrick de Keyser,1930,Brooklyn. 911 Flatbush Avenue; Erasmus Hall High School (closed in June 2007; now several service schools occupy the campus),"Restored, 1989, with a grant from Erasmus Hall Alumni Association 
Conservator: ",https://www.mas.org/images/eramus.jpg,-73.95774543,40.64960317
0101000020E6100000377F7EA5D47A52C0623CF7DC91554440,10,"Limestone, bronze tablet",Zion Park War Memorial,"Charles Cary Rumsey, sculptor
Henry Beaumont Herts, architect",1925,"Brooklyn. Zion Park, bounded by Legion St., Pitkin and East New York Aves, at Eastern Parkway","Restored, 1990, with a gift from the Mary A.H. Rumsey Foundation 
Conservator:
Maintenance by MAS",https://www.mas.org/images/zionparkwarmemorial.jpg,-73.91922891,40.66851389
0101000020E610000090A782DD728652C0B1608F4778524440,15,"Zinc group, sandstone base",Neptune Fountain,"J.W. Fiske & Company, fabricator",1892,"Staten Island. Snug Harbor Cultural Center, East Lawn","Restored, 1994, and refabricated in bronze with a catalyst grant from The Paul and Klara Porzelt Foundation and grants from the environmental Quality Bond Act and Per Cent for Art",https://www.mas.org/images/neptunefountain.jpg,-74.10076082,40.64429564
0101000020E6100000F56AFC99EC7552C088CD3251A55F4440,12,"Bronze statue, granite pedestal, gilded stars",Rocket Thrower,Donald DeLue,1964,Queens. Flushing Meadows-Corona Park,"Designed for the 1964 World's Fair
Restored in 2013, with a grant from George Trescher Monument Fund, Mr. and Mrs. Marvin C. Schwartz, The New York Community Trust, Joseph Smagacz and contributions from other individuals ",https://www.mas.org/images/rocketthrower.jpg,-73.84256601,40.74723258
0101000020E610000092C8041DE97D52C08E5EAA255F634440,36,Bronze statue on natural rock outcropping,Still Hunt,Edward Kennneys,1881-1883,Central Park overlooking the East Drive at 76th St.,"Restored with a grant from William Beinecke, Prospect Park Foundation 
Conservator: Joel Meisner
Maintained by CPC",https://www.mas.org/images/stillhunt.jpg,-73.96735311,40.77634116
0101000020E6100000E14F01EE817D52C033D8BBDC33614440,20,"Glass mosaic, tile, granite steele",Evangeline Blashfield Fountain,"Edwin Howland Blashfield, sculptor
Eli Harvey, sculptor
Charles Stoughton, architect",1919,59th St. between York & First Ave.,"Restored, 2003, with a gift from Florence D'Urso
Conservators: Wilson Conservation
Maintained by MAS",https://www.mas.org/images/blashfieldfinal.jpg,-73.96105528,40.75939521
0101000020E6100000DEA8FC08CF7E52C062AA2E1A915E4440,38,"Granite obelisk, bronze bas-relief",General William Jenkins Worth Monument,James Goodwin Batterson,1854-1857,Broadway and 24th Street,"Restored with a grants from Commander Thomas Woodruff and the Paul & Klara Porzelt Foundation
Conservator: Allan Cox
Maintained by MAS",https://www.mas.org/images/worthmonument.jpg,-73.98138642,40.73880317
